Jogador Referência	Jogador Comparado	Resultado
Leandro Damião	Wesley	81.34735000000003
Leandro Damião	Richard	81.59929999999996
Leandro Damião	Aloísio	82.47855000000001
Leandro Damião	Wesley da Silva	82.61300000000003
Leandro Damião	Jonathan Balotelli	83.08664999999992
Leandro Damião	A. Becker	84.06769999999996
Leandro Damião	Bruno Marques	84.3292
Leandro Damião	Wilkson	84.65370000000006
Leandro Damião	Edgar Bruno	84.94185000000004
Leandro Damião	Deyverson	85.9947
Leandro Damião	Marcus Índio	86.64290000000004
Leandro Damião	Matheus Cunha	86.77329999999995
Leandro Damião	Bruno Duarte	86.9955
Leandro Damião	Rafael Navarro	87.02265000000001
Leandro Damião	Matheus Babi	88.34420000000004
Leandro Damião	Yuri Jonathan	88.66525000000004
Leandro Damião	Kaio Nunes	89.01909999999998
Leandro Damião	Gleyson Oliveira	89.23625000000003
Leandro Damião	Nathan Fogaça	90.58575000000005
Leandro Damião	Júnior Brandao	90.76305000000008
Leandro Damião	Matheus França	90.80165000000001
Leandro Damião	Francisco da Costa	90.81190000000007
Leandro Damião	Jonata	90.93145000000004
Leandro Damião	Tiago Alves	91.28340000000003
Leandro Damião	Felipe Augusto	91.41344999999997
Leandro Damião	Itaitinga	91.55804999999991
Leandro Damião	João Magno	92.38650000000004
Leandro Damião	Rony	93.67750000000002
Leandro Damião	Patrick	94.42889999999991
Leandro Damião	Camilo Sanvezzo	95.18505000000007
Leandro Damião	Gabriel Honório	96.85540000000003
Leandro Damião	Allef	96.98144999999998
Leandro Damião	Garcez	97.26725000000008
Leandro Damião	Rafinha	97.29904999999994
Leandro Damião	Derley	97.3657
Leandro Damião	Neílton	97.61129999999993
Leandro Damião	Gerson Magrão	97.79504999999996
Leandro Damião	Tiago Reis	98.00750000000002
Leandro Damião	B. Cunha Cantanhede	98.01859999999998
Leandro Damião	Jean Moser	98.0704999999999
Leandro Damião	Rildo	98.10785000000004
Leandro Damião	Conrado	99.77944999999991
Leandro Damião	Kenedy	99.78415000000007
Leandro Damião	Bruno Mendes	99.97455000000008
Leandro Damião	Álvaro	101.19909999999999
Leandro Damião	Gabriel Veron	101.25905000000006
Leandro Damião	Alisson Safira	101.90664999999994
Leandro Damião	Júnior Dutra	101.93325000000004
Leandro Damião	J. von Moos	102.0269
Leandro Damião	Adílio Santos	102.17704999999991
Leandro Damião	André Luis	102.33664999999993
Leandro Damião	Samuel	102.47405
Leandro Damião	Vitinho	103.37254999999998
Leandro Damião	Matheus Peixoto	103.44564999999994
Leandro Damião	Rodrigo Pinho	104.13399999999999
Leandro Damião	E. Marcondes	104.43889999999996
Leandro Damião	Alan Grafite	104.55575000000003
Leandro Damião	Gabriel Ramos	105.16430000000005
Leandro Damião	Guilherme	107.14744999999996
Leandro Damião	Derik Lacerda	108.09909999999999
Leandro Damião	João Carlos	108.11920000000003
Leandro Damião	Júnior Todinho	108.65000000000006
Leandro Damião	Dyego Sousa	109.09729999999996
Leandro Damião	Matheus Vargas	109.4354499999999
Leandro Damião	Ademilson	109.47805000000005
Leandro Damião	Raphael Alemão	109.85744999999999
Leandro Damião	Diego Costa	110.32369999999996
Leandro Damião	M. Brunori	110.45089999999999
Leandro Damião	Pedro Henrique	112.59370000000004
Leandro Damião	Júnior Brumado	112.8261
Leandro Damião	Luan Dias	112.96285000000003
Leandro Damião	Lucao do Break	113.09470000000002
Leandro Damião	Mateus	113.5787
Leandro Damião	Rodrigo Henrique	114.76399999999988
Leandro Damião	Salatiel	114.90109999999997
Leandro Damião	João Figueiredo	115.61669999999992
Leandro Damião	Denílson	117.0375000000001
Leandro Damião	Pedro Henrique	117.87135000000004
Leandro Damião	Brenner	117.9597499999999
Leandro Damião	Vinicius Mello	118.11549999999995
Leandro Damião	Robson	118.17345
Leandro Damião	Dodô	118.70245000000008
Leandro Damião	Tardeli	119.39469999999999
Leandro Damião	Perotti	119.51615000000007
Leandro Damião	Zé Roberto	119.76585000000006
Leandro Damião	Léo Ceará	119.9225
