Jogador	Equipe	Minutos jogados:	Golos	Assistências	Duelos ganhos, %	Altura	Duelos defensivos ganhos, %	Duelos aéreos ganhos, %	Interseções/90	Golos sem ser por penálti	Golos esperados/90	Golos de cabeça	Golos de cabeça/90	Remate	Remates à baliza, %	Golos marcados, %	Cruzamentos certos, %	Cruzamentos precisos do flanco esquerdo, %	Cruzamentos precisos do flanco direito, %	Dribles/90	Dribles com sucesso, %	Duelos ofensivos ganhos, %	Passes certos, %	Passes para a frente certos, %	Passes para trás certos, %	Passes laterais certos, %	Passes curtos / médios precisos, %	Passes longos certos, %	Passes inteligentes certos, %	Passes certos para terço final, %	Passes precisos para a área de penálti, %	Passes em profundidade certos, %	Passes progressivos certos, %
Bernard	Panathinaikos	3335	6	6	44,38	164	52,4	0	2,05	6	0,1	0	0	43	27,91	13,953	32,79	22,22	36,59	3,05	51,33	42,23	82,28	74,39	94,78	85,13	85,82	62,92	42,11	77,39	56,3	31,11	79,83
Luciano	São Paulo	4595	13	5	46,85	181	51,82	39,33	1,46	12	0,27	1	0,02	113	36,28	10,619	41,18	46,67	35,29	1,9	59,34	48,94	86,38	72,78	95,06	89,37	88,54	74,58	30,43	80,45	62,5	30,3	83,03
Bruno Henrique	Flamengo	1669	7	1	45,81	184	52,05	44,44	2,04	5	0,4	2	0,13	32	43,75	15,625	37,5	37,5	28,57	4,65	58,9	44,44	78,32	59,46	97,32	75,86	83,89	20	40	73,33	41,38	40	78,43
Kenedy	Real Valladolid	848	0	1	37,37	180	58,33	30	2,55	0	0,19	0	0	20	50	0	54,55	50	66,67	5,41	39,22	31,53	77,13	54,39	96,3	82,54	81	30,77	50	76,19	47,62	37,5	73,53
Marcos André	Real Valladolid	634	1	1	37,82	185	51,85	30,23	1,42	1	0,11	0	0	10	30	10	50	0	50	3,55	48	40	67,61	68,42	66,67	65,52	68,25	66,67	0	83,33	33,33	0	77,78
Reinier	Frosinone	432	1	1	36,89	185	65	42,86	1,88	1	0,16	1	0,21	6	33,33	16,667	25	25	0	1,46	28,57	32,08	82,61	69,7	93,55	85,29	87,2	44,44	0	60	80	0	63,64
A. Shinyashiki	Neftchi	813	1	0	36,73	175	51,02	17,02	2,13	0	0,15	0	0	12	16,67	0	52	52,94	50	4,37	64,1	37,84	75,54	66,04	87,76	82,19	80,2	53,85	30	76,92	53,85	27,27	68,75
Davidson	Wuhan Three Towns	3438	12	7	44,46	177	55,08	35,11	2,57	9	0,36	1	0,03	101	39,6	11,881	33,73	31,37	36,67	8,14	56,27	43,88	79,42	71,96	92,09	81,87	84,3	58,57	32	72,18	57,14	36,36	87,01
Wesley	Stoke City	2088	4	1	34,43	191	54,72	40,71	1,56	4	0,33	2	0,09	38	44,74	10,526	57,14	75	33,33	1,29	41,38	29,51	77,67	59,57	85,23	85,84	78,13	75	33,33	75	61,29	36,36	81,4
João Figueiredo	İstanbul Başakşehir	3351	10	2	34,09	180	45,8	32,12	1,93	10	0,25	0	0	72	30,56	13,889	37,5	26,67	55,56	2,74	47,06	34,56	78,68	65,38	89,72	81,86	80,21	76,47	37,5	68,66	55,88	40	74,63
Marquinhos	Ferencváros	2471	6	6	41,51	170	61,01	26,42	2,37	5	0,21	0	0	56	35,71	10,714	24,39	30,43	16,67	6,67	53,55	40,31	78,28	68,42	90,95	77,82	81,14	61,11	44,83	71,43	56,98	44,83	80,88
Hulk	Atlético Mineiro	4621	25	9	35,38	180	57,05	30,77	0,93	18	0,47	0	0	183	38,8	13,661	37,65	28	41,67	7,32	47,92	34,7	72,5	59,76	87,01	72,59	76,92	52,63	30,19	66,96	55,33	32,73	83,19
