Jogador	Equipe	Minutos jogados:	Golos	Assistências	Duelos ganhos, %	Altura	Duelos defensivos ganhos, %	Duelos aéreos ganhos, %	Interseções/90	Golos sem ser por penálti	Golos esperados/90	Golos de cabeça	Golos de cabeça/90	Remate	Remates à baliza, %	Golos marcados, %	Cruzamentos certos, %	Cruzamentos precisos do flanco esquerdo, %	Cruzamentos precisos do flanco direito, %	Dribles/90	Dribles com sucesso, %	Duelos ofensivos ganhos, %	Passes certos, %	Passes para a frente certos, %	Passes para trás certos, %	Passes laterais certos, %	Passes curtos / médios precisos, %	Passes longos certos, %	Passes inteligentes certos, %	Passes certos para terço final, %	Passes precisos para a área de penálti, %	Passes em profundidade certos, %	Passes progressivos certos, %
Lucas Barbosa	Coritiba	1227	4	0	43,32	193	56,62	43,37	3,67	4	0,21	2	0,15	21	47,62	19,048	15,79	18,18	12,5	2,64	44,44	32,58	67,42	56,14	87,3	66,67	73,93	47,06	20	46,94	45	45,45	65,57
Robson	Coritiba	2860	8	4	41,73	175	54,87	36,84	2,74	5	0,32	1	0,03	51	45,1	15,686	30,77	16,67	34,21	2,86	53,85	41,09	68,93	55,73	87,9	68,39	76,4	30	40	54,32	41,43	27,59	64,41
Edu	Coritiba	959	5	1	32,03	181	50	34,88	1,31	5	0,29	1	0,09	22	45,45	22,727	33,33	50	0	1,97	33,33	24,19	67,5	56,52	82,86	77,27	70,14	57,14	16,67	50	45	16,67	74,07
Léo Ceará	Cerezo Osaka	2695	11	4	33,41	178	57,89	37,25	1,47	9	0,39	6	0,2	85	36,47	12,941	20	27,27	7,69	2,97	44,94	30,81	73,86	63,96	88,1	76,88	77,35	66,67	30	62,26	41,18	28,57	73,21
Léo Bonatini	Atlético de San Luis	1937	9	1	31,27	185	61,82	27,71	1,86	9	0,27	1	0,05	45	40	20	10	0	14,29	2,46	47,17	29,15	77,38	59,21	94	80,36	79,71	63,16	16,67	64,1	46,15	20	68
Fabinho	Criciúma	3242	13	2	36,12	180	53,78	29,29	1,2	11	0,26	1	0,03	73	35,62	15,068	14,29	0	16,67	2,94	45,63	34,12	81,66	68,07	90,24	83,65	85,28	56,67	47,62	75,31	59,38	41,18	77,42
Dodô	Atlético GO	1549	3	2	38,52	176	40,58	29,03	2,03	2	0,21	0	0	33	24,24	9,091	37,5	25	43,75	1,98	47,06	39,82	76,81	63,74	91,53	75,98	81,89	64,44	40	71,43	50	37,5	81,91
Luiz Fernando	Atlético GO	4349	19	7	40,18	178	51,96	28,19	2,17	18	0,36	6	0,12	113	40,71	16,814	32,08	35,48	27,27	3,27	49,37	44,22	80,44	64,19	94,49	80,07	84,66	55,32	36,84	69,7	55,95	44,44	80
Dyego Sousa	Alcorcón	811	2	1	40,97	189	59,38	46,05	1,66	2	0,32	0	0	18	38,89	11,111	50	66,67	50	3,88	60	34,59	77,19	71,15	92	72,09	79,38	40	71,43	72	63,16	71,43	84,62
Juan	São Paulo	1440	4	1	41,32	176	55,84	30,51	1,96	4	0,23	1	0,06	20	50	20	27,27	16,67	26,67	2,71	46,51	36,17	81,74	78,26	92,73	75,79	85,71	81,82	50	64,71	60	50	85,19
Flamarion	Dinamo Batumi	3154	20	4	46,04	171	59,57	38,1	1,64	18	0,41	3	0,09	69	53,62	26,087	30,77	36,36	0	3,14	52,34	44,53	86,52	77,68	93	88,97	88,12	54,17	18,18	81,2	67,39	36,36	87,5
Leonardo	Zhejiang Professional	2765	20	4	36,6	180	58,02	25,71	0,94	18	0,48	3	0,1	87	54,02	22,989	35,29	33,33	33,33	2,54	48,72	36,58	73,7	66,01	92,11	74,62	77,63	50	40,91	68,85	58,33	40	83,58
Igor Torres	Ponte Preta	844	2	1	36,81	182	40,3	37,93	2,03	2	0,4	0	0	24	33,33	8,333	40	33,33	42,86	3,31	58,06	37,5	75,18	60,87	94,44	70,59	78,23	66,67	0	88,89	40	0	50
Deyverson	Cuiabá	3186	15	0	38,13	189	46,48	47,25	1,92	12	0,37	5	0,14	75	54,67	20	29,17	16,67	66,67	2,01	33,8	31,09	64,8	49,01	87,18	64,29	67	56	33,33	57,14	34,04	25	68,06
Gilberto	Cruzeiro	3112	10	3	35,86	178	52,38	33,54	1,16	9	0,36	3	0,09	78	41,03	12,821	29,17	33,33	25	1,3	53,33	32,16	78,42	66,3	92,31	78,1	81,05	71,43	16,67	69,57	62,07	50	77,55
Fábio Gomes	Juventude	636	1	0	32,32	193	52,17	38,46	1,42	1	0,19	1	0,14	8	25	12,5	16,67	0	25	1,84	23,08	15,38	74,71	73,68	81,48	76,19	79,49	66,67	0	71,43	60	100	72,73
Ivonei	Botafogo SP	839	0	0	45,79	175	53,85	31,25	1,29	0	0,18	0	0	21	23,81	0	0	0	0	1,82	35,29	44,74	89,21	72,88	96,05	94,12	91,12	66,67	0	80,65	58,33	20	76
Thiago	Club Brugge	3786	22	4	34,64	188	50,87	40,09	1,76	20	0,48	8	0,19	102	49,02	21,569	12,5	11,11	14,29	2,66	47,32	24,75	72,26	48,25	89,12	68,69	76,09	28,13	31,25	41,79	51,16	22,22	59,26
Rildo	Portimonense	1358	4	1	34,74	178	45,88	18,18	1,52	2	0,29	0	0	27	40,74	14,815	33,33	35,71	25	4,04	39,34	36,49	75,19	65,43	90,91	67,61	79,41	57,14	40	70,97	44,83	45,45	75
Régis	Guarani	1722	2	3	36,93	171	40,86	15,15	1,57	1	0,18	0	0	25	28	8	52,38	55,56	50	2,4	50	34,81	83	77,92	92,41	85,19	85,59	71,43	28,57	80,9	61,22	22,22	88,31
Léo Jabá	Estrela Amadora	1618	6	4	45,5	178	54,65	45	1,84	5	0,3	1	0,06	35	37,14	17,143	33,33	36,67	27,78	5,78	57,69	40,49	68,21	64,77	88,14	67,24	76,95	15,79	38,46	56,76	51,02	25	76,47
Welinton Júnior	Gangwon	1937	4	0	37,16	175	43,59	31,11	1,35	3	0,37	0	0	72	29,17	5,556	22,22	14,29	27,27	3,58	41,56	38,21	72,84	64,71	91,67	66,27	76,3	50	20	68,18	45	33,33	76,92
Guilherme Schettine	Ural	1597	6	3	37,7	184	61,67	46,09	1,58	6	0,39	2	0,11	45	51,11	13,333	31,25	33,33	30	2,99	45,28	24,86	73,06	50,62	84,62	78,7	77,78	45,16	27,27	50	48,28	16,67	60,47
Luan	Grêmio	437	1	0	35,96	180	57,14	20	1,24	1	0,13	1	0,21	5	60	20	66,67	100	50	1,65	37,5	29,79	88,44	71,43	100	94,12	89,42	71,43	50	91,3	50	25	76,19
Adailton	Tokyo	1575	7	5	35,43	176	45	31,52	2,34	7	0,4	2	0,11	60	31,67	11,667	27,27	22,58	100	6,23	46,79	32,2	68,03	50,7	90,12	69,11	74,17	42,22	33,33	49,25	52,54	19,05	75
Bruno	Pafos	3114	9	4	41,9	180	59,12	24,49	2,14	9	0,29	0	0	65	44,62	13,846	23,26	22,06	29,41	4,6	51,57	38,27	73,23	59,19	90,45	70,41	78,42	54,55	28	59,3	49,58	33,33	79,19
Edigar Junio	V-Varen Nagasaki	823	3	0	33,58	174	66,67	25,68	1,42	2	0,34	1	0,11	16	50	18,75	75	100	66,67	2,84	42,31	32	80,95	66,67	82,81	83,33	82,28	50	0	66,67	44,44	50	73,68
Diego Farias		1154	3	4	40,72	172	47,73	35	1,01	3	0,16	1	0,08	24	41,67	12,5	43,75	40	50	4,06	59,62	44,09	80,21	63,86	93,2	80,45	83,95	63,64	22,22	66,67	54,55	40	74,36
Gabriel Poveda	Avaí	1583	8	0	26,28	183	38,89	20,39	1,02	5	0,35	1	0,06	40	52,5	20	50	40	100	1,88	51,52	27,01	75,94	63,89	89,06	67,65	77,84	58,33	0	61,9	52,63	33,33	78,26
Guilherme	Fortaleza	2124	7	4	49,23	178	65,96	45,95	3,36	4	0,31	0	0	47	42,55	8,511	23,33	25	14,29	6,07	56,15	45,83	74,06	53,91	90,07	78,74	82,89	42,86	57,14	68	50,75	35,71	77,5
Bruno Sávio	Bolívar	1654	6	3	39,71	184	60,29	30	1,77	6	0,24	0	0	35	45,71	17,143	35,9	33,33	50	4,59	51,43	36,25	74,8	69,92	88,79	70,99	79,29	57,69	42,86	60,38	48,98	30,77	81,67
Everaldo	Bahia	3405	15	3	32,02	182	43,66	38,92	1,03	10	0,45	0	0	83	50,6	18,072	35,48	40	30	1,95	38,57	23,51	70,53	60,27	89,42	72,79	73,57	58,33	33,33	61,11	55,81	27,27	73,53
Jonathan Junior	Kotwica Kołobrzeg	1367	6	1	30,06	173	42,31	20,34	0,99	3	0,35	0	0	28	35,71	17,857	26,67	16,67	25	3,19	62,22	34,62	75	70	95,74	68,52	80,84	28,57	33,33	73,91	52,94	0	65
Luvannor	Sheriff	2294	9	3	33,87	182	44,74	34,62	1,53	7	0,42	0	0	61	36,07	14,754	38,71	37,5	42,86	2,59	46,97	28,7	79,02	70,37	89,54	81,08	81,18	88,24	33,33	75,51	54,76	36,84	85,53
J. Tagueu	Ha Noi	2008	9	0	34,88	178	50	37,19	1,18	9	0,39	5	0,25	48	39,58	18,75	20	0	50	0,94	57,89	28,28	82,01	63,83	87,37	83,75	82,73	100	60	64	70,59	50	76,19
Ricardinho	Levski Sofia	2524	13	2	28,89	181	47,67	22,92	1,46	12	0,33	2	0,07	57	43,86	22,807	20	40	10	0,96	55,56	31,45	68,48	58	85,44	65,91	71,01	62,5	33,33	61,9	45,83	37,5	59,26
Jorginho	Sport Recife	3889	11	5	46,98	180	53,88	42,86	2,34	11	0,31	0	0	80	35	13,75	28,26	28,57	28,57	2,29	49,49	51,06	79,06	70,81	90,59	83,19	84,85	56,63	47,22	71,1	57,26	36,96	82,81
Bruno Nazário	Chapecoense	3178	10	9	41,06	178	49,71	30,28	1,61	7	0,26	0	0	71	43,66	14,085	32,39	28,26	41,67	2,95	52,88	41,93	79,02	67,43	92,67	79,73	85,04	56,12	29,41	67,74	46,74	29,03	86,79
Vinícius	Sheriff	645	2	4	36,18	174	52,94	23,08	3,07	2	0,35	0	0	16	25	12,5	30	0	37,5	5,3	44,74	36,05	83,75	80,43	93,33	86,05	87,67	75	70	86,96	83,33	72,73	86,67
Luan Dias	Santos	1935	1	1	42,98	181	49,69	12,5	1,81	1	0,05	0	0	20	30	5	27,27	18,18	36,36	4,09	53,41	41,7	80,38	69,73	89,74	85,88	85,47	47,37	38,89	75,26	47,22	31,82	76,92
Leonardo Rocha	Radomiak Radom	2446	11	2	40,52	200	46,15	47,69	1,8	10	0,45	4	0,15	83	46,99	13,253	28,57	33,33	25	2,58	54,29	35,82	59,77	51,97	74,42	63,92	61,54	45,45	12,5	53,03	28	22,22	89,66
Gustavo	Shabab Al Ahli Dubai	457	1	0	37,86	178	57,89	36,36	2,56	1	0,1	0	0	10	20	10	0	0	0	4,73	37,5	36,07	87,28	76,6	100	91,25	88,41	75	20	92,86	50	33,33	84,62
Cauê	Benfica II	2037	7	1	32,5	180	52,56	28,18	1,59	7	0,25	0	0	31	58,06	22,581	25	50	0	2,3	50	28,69	78,88	52,56	91,25	75,74	80,39	71,43	21,43	56,82	38,1	14,29	56,76
Rodolfo	Grêmio Novorizontino	750	3	1	34,43	175	60	26,67	2,28	3	0,39	0	0	22	45,45	13,636	28,57	30	27,27	3,48	58,62	34,02	68,79	62,07	97,06	64	79,82	30,77	75	53,33	50	100	80
Rafa Silva	Jeonbuk Motors	1449	5	1	32,42	179	52,17	21,43	1,61	5	0,35	1	0,06	44	38,64	11,364	0	0	0	2,92	51,06	32,17	82,33	64,62	93,33	86,81	87,23	14,29	42,86	66,67	33,33	37,5	73,68
Ganso	Fluminense	4052	5	7	44,72	184	47,65	36,84	1,77	4	0,1	0	0	32	43,75	15,625	48,28	16,67	54,55	1,03	51,16	45,6	88,48	81,08	96,29	90,3	90,42	46,43	48,84	81,52	60,83	33,33	83,15
Gabriel Ramos	Bucheon 1995	1462	2	4	38,29	184	55,66	28,57	3,26	1	0,31	0	0	33	27,27	6,061	23,08	50	0	3,26	39,62	34,13	77,08	68,9	87,41	80	79,32	47,62	38,89	72,22	40,82	33,33	78,57
Iury Castilho	Vitória	1303	4	1	44,02	183	56,06	35,06	2	4	0,19	1	0,07	30	26,67	13,333	21,43	14,29	42,86	5,04	61,64	45	74,9	70,69	87,93	77,78	83,17	61,54	33,33	78,26	37,5	40	78,13
Renan Oliveira	Sarajevo	2743	18	3	29,69	186	41,18	29,58	1,05	14	0,51	2	0,07	86	51,16	20,93	55,56	61,54	50	1,48	42,22	29,95	75,14	57,14	86,36	80,7	76,45	74,29	44,44	53,45	50	27,27	78,95
Felipe Pires	Dnipro-1	1349	1	0	38,93	178	40,63	0	1,07	1	0,1	0	0	18	33,33	5,556	30,77	44,44	0	3,34	56	44,03	86,51	78,21	95,28	91,22	89	50	0	90	52,63	33,33	71,74
Vitor Gabriel	Gangwon	3167	13	7	37,34	184	49,09	33,61	1,1	11	0,41	5	0,14	82	41,46	14,634	19,23	23,08	15,38	3,08	57,01	39,26	66,47	48,05	86,49	61,17	71,15	37,5	25	51,43	26,09	30	57,14
Ronaldo	Levski Sofia	3627	7	1	42,19	177	64,37	38,56	3	7	0,22	0	0	60	38,33	11,667	21,67	0	22,41	5,32	49,28	34,3	74,9	60,84	91,24	70,59	80,77	48	6,67	59,65	46,67	17,65	77,22
Tiago Alves	Fagiano Okayama	1485	6	1	27,29	181	35,59	21,35	2,12	6	0,42	0	0	56	32,14	10,714	20	14,29	25	4,79	37,97	30,53	58,24	44	82,86	58,33	62,18	50	33,33	36,36	52,38	75	52,38
Élvis	Ponte Preta	3028	4	8	38,75	175	47,47	24,44	0,71	3	0,26	0	0	47	34,04	8,511	54	56	50	1,55	57,69	36,79	79,79	65,63	93,65	89,2	85,11	64,21	53,66	73,28	62,5	45,59	89,52
Vinicius Mingotti	Bahia	2069	10	3	37,99	182	60,66	26,97	1,2	8	0,25	0	0	33	51,52	27,273	14,29	20	0	1,15	45,83	33,33	76,98	62,75	91,86	78,08	79,13	50	50	59,09	62,5	66,67	62,07
Fernando Karanga	Jinan Xingzhou	1370	6	1	37,86	189	59,46	36,28	1,18	5	0,59	3	0,2	40	60	15	20	25	18,18	5,78	40,91	34,67	68,14	50	80	74,03	71,21	81,82	20	60,87	47,37	20	82,76
Miguel Ferreira	Bashundhara Kings	1282	9	1	58,74	188	51,43	58,82	0,98	8	0,38	1	0,08	50	46	18	33,33	0	40	5,55	72,06	61,29	77,47	58,75	89,36	89,83	82,73	38,78	36,67	66,1	47,54	35,85	86,96
Maurides	St. Pauli	999	3	1	41,84	189	52,63	57,64	2,07	3	0,39	0	0	33	39,39	9,091	0	0	0	1,08	66,67	23,28	68,32	56	82,86	77,33	67,43	80	0	65,38	55,56	33,33	78,26
Neílton	Criciúma	430	2	1	41,44	166	54,55	12,5	1,67	1	0,34	0	0	8	62,5	25	22,22	33,33	16,67	4,19	30	33,96	77,09	64,15	91,18	78,43	83,77	43,75	100	66,67	44,44	57,14	72
João Carlos	Estoril	679	2	1	26,27	187	26,92	26,67	2,07	2	0,47	1	0,14	23	43,48	8,696	25	33,33	0	3,58	38,46	28,89	68,81	45,83	95,83	68,57	70,59	60	66,67	36,36	37,5	50	60
João Paulo	CRB	3571	6	2	42,68	169	51,05	24,64	1,42	5	0,22	1	0,03	83	39,76	6,024	29,41	39,13	20	3,43	51,54	43,56	83,39	75,07	93,6	84,3	87,67	63	44,44	76,4	54,87	33,33	87,17
Guilherme Dellatorre	Montedio Yamagata	1095	3	2	30,41	181	47,37	29,87	2,14	3	0,53	1	0,08	41	34,15	7,317	11,11	0	16,67	1,89	52,17	35,44	73,48	59,57	87,27	68,57	80,86	10	100	38,1	42,86	80	60,87
Lukian	Avispa Fukuoka	2857	5	3	38,59	183	50,88	31	1,92	3	0,23	1	0,03	50	40	10	21,95	22,22	19,35	3,47	50,91	38,58	73,13	55,56	86,26	72,37	78,31	61,9	14,29	65,91	46,15	14,29	66,67
Wesley da Silva	Qingdao West Coast	2169	4	3	33,53	188	59,46	33,74	1,99	4	0,2	2	0,08	34	35,29	11,765	38,46	50	36,36	2,74	42,42	30,36	73,05	52,31	92,05	70	76,06	33,33	0	60	61,54	0	70,97
Willyan	Seoul	1639	9	3	44,05	170	67,92	25	1,54	9	0,25	1	0,05	42	35,71	21,429	40	28,57	50	5,88	55,14	38,49	76,72	60,87	93,2	72,73	81,13	48	36,36	56,25	52,5	23,08	77,36
Erick	Juventude	2930	16	5	33,65	172	60,61	22,92	1,48	10	0,41	2	0,06	61	55,74	26,23	48,48	50	47,06	2,68	41,18	28,47	81,26	66,94	92,61	81,66	83,48	75	62,5	77,05	50	66,67	80,82
Denílson	Avaí	1335	4	1	34,88	188	51,72	36,04	2,49	4	0,22	0	0	23	34,78	17,391	25	0	50	2,29	41,18	32,68	78,29	60,66	90,79	82,76	79,77	81,25	50	52,38	42,86	50	68
Philippe Costa	Goiás	756	4	0	38,37	188	50	42,59	1,19	3	0,26	1	0,13	15	33,33	20	0	0	0	1,46	36,36	31,58	80,2	74,07	88,46	85,19	81,91	100	25	81,82	72,73	0	75
Bruno Costa	CRB	1434	4	3	45,73	182	55,17	30,77	2,26	4	0,22	1	0,06	22	40,91	18,182	37,23	31,03	40	8,79	50,71	44,6	63,12	62,75	89,47	62,5	77,49	44,44	50	55	49,37	0	85,71
Evandro	ABC	1689	1	4	41,39	174	47,92	42,15	2,34	1	0,13	0	0	28	46,43	3,571	11,76	18,18	0	5,28	51,52	46,32	69,08	53,47	89,89	64,2	74,6	27,78	33,33	43,59	48,57	30	71,43
Itaitinga	Sion	1246	2	2	44,75	184	64,29	55,56	2,74	2	0,24	2	0,14	24	29,17	8,333	22,73	16,67	30	5,42	54,67	38,5	76,04	50,77	94,67	69,23	81,18	53,33	27,27	53,85	55,56	27,27	71,43
França	Lokomotiv Sofia 1929	3228	6	0	37,42	172	55,61	17,82	2,32	5	0,15	2	0,06	53	39,62	9,434	31,82	38,46	25,64	5,59	56,41	37,94	64,52	63,16	85,14	64,34	71,18	50	100	83,33	50,79	50	69,86
Rodrigo Henrique	Meizhou Hakka	3195	5	7	45,7	178	57,89	27,06	1,8	5	0,17	0	0	54	38,89	9,259	28,43	28,89	28,57	8,93	61,2	46,84	76,31	68,55	90,73	75,56	81,77	62,71	33,33	65,35	54,13	35,48	86,5
Talles	Rukh Lviv	2288	4	3	36,62	172	55,26	32,43	2,2	4	0,21	0	0	55	34,55	7,273	28,57	40	20	2,52	50	27,36	82,86	74,78	92,5	89,22	87,45	53,85	50	80	46,3	18,18	75,65
Andre Clóvis	Academico Viseu	3710	27	0	32,64	186	46,09	34,13	1,82	23	0,62	6	0,15	141	42,55	19,149	23,33	30,77	18,75	1,77	47,95	28,3	68,33	51,3	87,77	69,5	72,6	56,52	42,86	53,23	45,45	37,5	76,36
Jajá	Tokyo	1877	3	1	44,51	175	59,63	26,09	2,88	3	0,24	0	0	51	49,02	5,882	36,36	35,71	37,5	5,47	59,65	44,56	69,42	62,89	85,94	72,04	78,66	40	25	70	48,39	18,18	68,63
Everton Galdino	Grêmio	1711	7	1	39,96	178	53,13	25,68	3	7	0,31	0	0	49	32,65	14,286	37,5	16,67	50	5,58	54,72	42,24	80,09	67,74	90,43	83,67	82,78	60,87	54,55	69,09	59,26	45,45	72,41
Clayton	Casa Pia AC	1944	8	0	31,04	184	39,02	32,75	1,44	8	0,36	3	0,14	58	39,66	13,793	12,5	25	0	3,19	50,72	29,54	77,6	50	91,21	87,32	81,6	25	66,67	65,12	50	40	57,69
Zeca	Pohang Steelers	2653	11	8	36,01	190	45,45	45,75	2,27	9	0,36	4	0,14	70	38,57	15,714	27,27	15,38	44,44	2,71	48,75	30,27	71,48	65,08	85,35	71,13	73,81	57,14	60	69,57	60,34	66,67	77,78
Bruno Mendes	Guarani	1427	7	0	38,74	184	60	41,49	1,39	6	0,32	1	0,06	27	59,26	25,926	0	0	0	1,7	48,15	31,07	75,6	61,76	92,06	72,55	78,06	83,33	66,67	71,43	50	75	55,56
Leandro Ribeiro	Daejeon Citizen	1474	5	7	40,14	178	72,97	28,3	1,53	4	0,2	1	0,06	21	52,38	23,81	31,43	33,33	30	3,79	58,06	37,66	71,88	51,61	84,75	73,91	75,91	65,22	77,78	38,89	53,33	50	65,91
Ricardo Lopes	Suwon	623	0	0	29,89	184	50	24,44	2,02	0	0,08	0	0	12	50	0	33,33	33,33	33,33	5,92	41,46	29,59	78,95	64,81	95,65	76,27	81,87	60	66,67	66,67	50	60	72,22
Tiago	Khorfakkan	1952	9	1	28,23	185	52,17	34,25	1,94	7	0,36	3	0,14	40	52,5	22,5	30	60	0	1,8	46,15	22,28	76,04	55,67	89,15	75	78,81	25	50	60,98	53,33	50	67,65
Bruno Lamas	Busan I'Park	2354	10	7	39,74	176	58,43	30,51	1,53	9	0,24	0	0	84	40,48	11,905	47,62	55,56	41,67	2,41	55,56	39,05	78,72	63,92	91,79	84,18	82,27	54	47,62	62,42	58,9	42,86	80,25
Richard	Chapecoense	1332	2	0	47,01	171	58,33	45,45	0,88	2	0,24	1	0,07	44	36,36	4,545	31,43	21,05	43,75	4,86	54,17	48,04	72,01	56,06	90,67	71,88	78,09	62,5	0	51,85	48,39	0	66,67
Muralha	Al Arabi	3061	11	5	43,62	176	48,85	26,19	1,72	10	0,22	0	0	60	43,33	16,667	26,42	8,33	42,86	1,82	68,33	43,06	78,46	68,39	92,61	82,33	84,62	57,21	32,14	70,27	40,74	32,2	81,42
Felipe	Chengdu Rongcheng	2360	12	4	40,51	193	55,68	45,49	2,14	12	0,27	6	0,23	63	39,68	19,048	33,33	28,57	50	3,39	51,69	36,15	78,02	63,53	87,63	83,87	78,47	86,96	71,43	72,5	66,67	57,14	71,79
Wendel	Porto II	2158	6	4	37,66	180	56,96	35,96	1,92	5	0,3	0	0	38	44,74	15,789	21,88	5,88	40	3,17	51,32	33,48	74,87	63,45	90,58	73,33	79,17	50	33,33	61,9	54,17	38,1	88,24
Hernandes	Incheon United	2169	7	3	41,9	183	55,41	26,23	1,81	7	0,21	0	0	59	22,03	11,864	21,62	7,14	30,43	3,65	68,97	45,27	77,36	63,33	92,57	76,22	81,78	40	48,28	61,54	45,9	39,02	77,42
Neto	Chapecoense	882	3	0	49,02	178	53,62	55,17	3,67	3	0,31	0	0	25	60	12	55,56	60	50	1,53	46,67	43,75	80,18	63,64	94,44	87,5	83,57	57,58	0	61,7	43,75	7,69	66,04
Pablo	Famalicão	1294	2	0	38,08	184	56,84	35,23	2,5	2	0,16	1	0,07	19	31,58	10,526	20	0	20	3,34	62,5	32,83	84,49	79,07	88,31	85,48	86,34	71,43	50	77,27	60	66,67	87,5
Alvaro de Oliveira	Al Bataeh	1995	6	1	38,22	181	54,69	40,58	1,17	6	0,38	1	0,05	66	33,33	9,091	20,83	0	21,74	4,15	52,17	34,51	69,21	45,61	90,12	64,36	74,46	46,15	14,29	56,41	55,17	33,33	71,88
Heberty	Johor Darul Ta'zim	2913	16	4	45,59	172	56	40,74	1,02	12	0,37	0	0	93	39,78	17,204	45,45	33,33	58,82	2,66	54,65	44,74	85,08	72,61	92,53	91,35	88,01	65,31	41,3	74,75	61,22	36,84	87,27
Alan	Al Najma	642	0	1	38,32	175	50	41,67	2,1	0	0,08	0	0	12	25	0	28,57	0	33,33	3,36	29,17	32,14	72,28	52,73	91,89	76,92	76,54	43,75	25	65,22	30,77	0	86,67
Douglas Baggio	Grêmio Novorizontino	2823	7	5	43,43	172	58,33	32,62	1,56	7	0,31	1	0,03	66	34,85	10,606	26,58	30,77	25,76	4,94	57,42	46,34	74,37	74,7	90,76	71,36	81,49	31,25	42,11	72,31	44,74	31,82	81,82
Gabriel Xavier	Chapecoense	729	3	1	33,09	170	46,15	24	1,36	3	0,15	1	0,12	10	50	30	27,27	40	20	1,73	42,86	31,11	80,41	72,73	95	77,55	87,6	58,82	66,67	68,75	52,63	80	72
Rafinha	Blooming	2032	8	5	43,51	174	56,82	29,58	2,48	5	0,32	0	0	49	44,9	16,327	45,16	42,86	50	2,75	62,9	44,64	72,39	52,27	91,25	80	79,03	46,43	50	61,54	51,52	43,9	75,93
Marcinho	Sampaio Corrêa	2466	1	3	42,76	174	43,7	36,36	1,47	1	0,13	0	0	66	22,73	1,515	26,92	23,81	31,03	2,05	53,57	46,88	81,69	72,62	95,79	82,54	87,11	58,65	70	77,37	50	35,29	85,71
Maurício Garcez	Coritiba	2208	5	0	43,76	183	67,31	39,81	2,7	5	0,21	0	0	34	38,24	14,706	30	42,86	27,27	2,99	52,78	36,93	77,35	66,67	96,38	72,38	82,62	45,45	40	58,97	48,65	50	72,88
Juninho	Qarabag	2399	7	0	31,22	179	45,63	31,3	1,61	7	0,32	3	0,11	52	51,92	13,462	20	16,67	25	2,59	39,13	27,7	81,48	58,06	89,47	79,82	83,55	75	100	88,89	46,15	100	78,57
Rodrigo Varanda	América Mineiro	1446	2	1	38,75	180	57,14	28,3	2,07	2	0,2	0	0	34	35,29	5,882	40	40	40	3,94	55,93	36,59	82,21	73,56	89,77	81,74	85,47	37,5	0	70,73	66,67	0	66,67
Rivaldinho	Farul Constanţa	1759	3	3	35,53	187	51,72	35,65	1,43	3	0,31	1	0,05	43	39,53	6,977	11,11	0	14,29	0,87	23,53	31,21	71,7	62,86	86,14	61,29	73,2	66,67	42,86	66,67	41,67	20	63,33
Ai Kesen	Chengdu Rongcheng	1975	8	0	44,05	180	62,96	41,53	2,37	5	0,45	2	0,09	60	38,33	13,333	21,74	27,78	0	3,1	57,35	40,41	81,14	75,35	89,43	83,05	84,1	72,41	44,44	84,29	51,22	33,33	71,43
Bruno Oliveira	Seoul E-Land	1902	6	1	40,98	175	58,82	40	1,89	5	0,15	0	0	28	50	21,429	30,77	0	40	3,64	38,96	35,79	81,38	65,18	92,31	84,95	86,02	51,16	31,58	70,4	40	25,93	73,73
Matheus Cadorini	Ituano	1130	6	1	30,04	191	38,1	35,45	0,96	5	0,35	3	0,24	31	48,39	19,355	0	0	0	1,27	25	24	66,17	48,65	86,21	61,22	68,95	28,57	16,67	38,1	38,46	20	41,67
Marlyson	Figueirense	539	2	0	32,3	185	63,16	21,88	2,5	2	0,21	0	0	7	42,86	28,571	66,67	0	66,67	1	33,33	32,81	76,81	50	100	82,35	76,56	100	0	66,67	50	0	71,43
Yago Cariello	Gangwon	1617	2	2	37,38	187	55,56	40,49	2,23	2	0,51	0	0	44	27,27	4,545	0	0	0	2	38,89	32,24	72	43,86	85,71	80,3	72,76	50	0	50	30	0	44,44
Felipe Vizeu	Criciúma	2558	10	2	31,53	184	43,84	29,05	1,37	10	0,23	5	0,18	48	47,92	20,833	33,33	50	20	2,43	52,17	31,15	82,02	74,29	92,86	81,98	83,56	25	50	63,46	73,68	0	77,14
Alan Kardec	Atlético Mineiro	435	1	0	38,27	190	33,33	40	1,06	1	0,2	0	0	6	33,33	16,667	0	0	0	0,42	50	25	81,63	50	100	72,73	85,11	0	0	57,14	66,67	0	100
Arthur Sales	Lommel SK	1277	6	1	45,45	184	59,04	38,6	3,03	6	0,31	0	0	28	46,43	21,429	26,92	12,5	33,33	1,76	60	42,48	76,47	60,47	89,52	79,58	81,3	58,06	45,45	68,29	48,57	50	76,6
Bergson	Johor Darul Ta'zim	2878	39	5	38,54	181	48,65	42,42	1,44	31	0,87	8	0,25	192	40,63	20,313	12,5	7,14	22,22	4,38	49,29	39,07	79,97	65,96	91,89	76,65	82,68	57,14	15,79	65,52	51,72	19,05	86,27
Alisson Safira	Vitória Guimarães	1197	6	1	42,34	185	43,64	52,34	1,65	5	0,26	3	0,23	25	36	20	0	0	0	2,4	50	37,4	75,71	54,05	87,67	71,43	78,33	0	0	30	30	0	50
